ID,cwInv,cytInv,vacInv,FK,HX,PGI,PFK,Aldolase,AGPase,PGM,UGPaseP,G6PDH,cwInv,cytInv,vacInv,FK,HX,PGI,PFK,Aldolase,AGPase,PGM,UGPaseP,G6PDH,cwInv,cytInv,vacInv,FK,HX,PGI,PFK,Aldolase,AGPase,PGM,UGPaseP,G6PDH
B56,15.37,122.05,139.21,0.31,0.03,2.7,0.07,0.27,1.77,NA,0.14,2.76,39.84,571.43,783.59,0.98,0.1,3.75,0.24,0.47,5.61,1.54,1.83,0.67,72.14,935.68,13.27,0.43,0.13,NA,0.03,0.11,5.28,NA,3.48,0.29
B87,NA,NA,53.57,0.83,NA,NA,NA,0.77,NA,NA,0.06,NA,NA,NA,396.42,4.36,0.62,NA,0.57,0.76,0.11,NA,NA,3,NA,NA,463.77,3.09,0.26,0.94,NA,1.84,NA,1.15,NA,0.77
KAS1,73.23,50.71,128.94,NA,0.06,0.04,0.05,3.2,1.34,2.02,1.14,21.63,240.33,228.97,471.31,0.18,NA,NA,NA,0.35,NA,NA,NA,NA,195.81,293.15,503.2,0.25,NA,NA,NA,0.31,10.63,NA,NA,NA
B353,113.99,100.35,211.14,0.03,NA,0.03,0.05,0.25,2.68,0.31,0.26,21.18,123.65,415.53,1169.72,10.25,1.88,1.97,0.06,1.36,19.45,NA,41.98,2.19,49.63,465.12,1617.51,NA,NA,0.09,NA,0.48,NA,NA,NA,0.34
B37,3.01,NA,16.94,0.14,0.03,NA,0.04,0.2,0.07,0.09,0.36,0.16,21.65,NA,120.99,0.69,0.01,NA,0.67,0.61,1.76,NA,1.01,3.23,11.1,NA,120.09,0.7,NA,NA,0.11,1.12,0.79,NA,0.94,1.31
B123,14.01,170.66,193.49,0.16,0.06,1.43,0.14,0.46,2.48,0.34,0.23,2.85,16.31,981.35,838.13,0.3,NA,NA,0.05,0.3,9.18,NA,6.59,1.32,24.33,1018.11,849.72,0.33,0.16,NA,0.04,0.16,7.87,NA,11.77,0.35
B146,1.88,NA,7.16,0.11,0.02,NA,0.03,0.06,0.1,NA,NA,0.08,52.74,NA,41.84,0.68,0.04,NA,0.15,0.45,1.37,NA,1.12,NA,42.93,NA,42.36,0.59,0.03,3.17,0.43,1.16,1.21,NA,1.26,NA
B216,5.31,NA,45.63,NA,0.07,NA,0.03,1.59,0.13,0.2,0.08,0.2,7.15,NA,256.87,0.53,0.03,3.3,NA,1.74,1.11,0.88,1.4,0.59,32.43,NA,261.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
B106,1.86,NA,9.44,0.09,0.04,NA,0.09,0.19,0.09,0.11,0.25,0.06,27.44,NA,72.61,0.82,0.1,NA,0.09,0.84,1.91,NA,1.98,3.84,37.56,NA,84.86,0.56,0.1,3.36,NA,0.54,1.69,NA,0.85,1.68
B358,50.63,NA,38.77,0.35,0.16,0.12,0.09,2.29,NA,1.03,0.22,0.11,5.29,NA,337.52,1.58,0.32,20.24,1.46,5.34,NA,NA,1.56,1.57,53.22,NA,242.39,0.62,0.19,0.58,2,0.85,1.04,1.17,NA,1.97
B345,NA,NA,28.67,0.51,0.05,0.21,NA,0.65,NA,NA,NA,NA,NA,NA,375.79,3.6,1.17,NA,NA,0.33,NA,2.09,NA,2.88,NA,NA,364,3.91,NA,3.72,0.36,NA,NA,0.51,NA,1.74
B198,NA,NA,140.07,0.65,0.03,0.36,NA,1.42,NA,NA,NA,NA,NA,NA,400.02,3.33,1.23,0.24,NA,1.3,NA,NA,NA,0.75,NA,NA,515.78,3.21,0.38,0.36,1.08,NA,0.17,NA,NA,0.46
B194,NA,NA,19.23,0.83,0.17,0.17,NA,NA,NA,0.09,1.08,NA,NA,NA,370.2,4.26,NA,23.75,0.25,13.42,1.03,1.88,NA,NA,NA,NA,807.96,3.93,0.42,17.1,NA,10.6,1.22,NA,NA,2.66
B303,NA,NA,42.85,0.87,0.04,0.25,NA,0.53,NA,0.02,NA,NA,NA,NA,438.51,3.79,0.42,15.02,NA,7.15,0.45,NA,NA,NA,NA,NA,204.02,17.77,4.26,9.58,NA,NA,NA,2.9,NA,NA
WS0,33.06,265.34,5.77,0.19,0.07,NA,0.18,0.67,2.44,0.28,0.22,4.51,31.74,431.42,572.22,0.12,0.29,59,NA,0.62,6.47,4.63,NA,NA,35.98,1306.24,1069.7,0.34,0.19,35.41,NA,0.32,9.85,2.01,10.21,0.58
B255,NA,NA,46.37,0.96,0.17,NA,NA,0.49,NA,NA,0.11,NA,NA,NA,1170.97,7.93,1.63,0.88,NA,3.4,0.59,0.79,NA,1.14,NA,NA,557.22,4.79,0.93,9.79,NA,11.7,NA,NA,NA,0.13
MS0,85.77,55.5,88.59,0.01,0.04,0.01,0.05,NA,2.08,2.72,1.53,NA,239.3,369.72,513.14,0.24,0.03,1.15,0.23,0.63,0.35,39.83,0.67,2.97,97.66,142.26,249.8,NA,0.32,NA,NA,0.26,4.78,NA,36.03,0.2
N13,35.05,31.87,22.43,0.07,0.06,NA,0.04,2.01,2.14,0.34,0.53,NA,128.51,269,422.44,0.18,NA,0.18,0.14,0.44,12.3,12.29,NA,1.87,74.72,104.21,211.05,0.16,0.24,0.14,0.08,0.26,10.93,6.64,NA,0.88
E116,1.23,NA,678.72,0.07,0.07,0.41,0.02,0.42,NA,0.16,0.49,NA,40.45,163.09,150.55,0.86,0.14,40.18,3.74,0.05,NA,33.73,7.41,3.69,70.98,156.86,227.65,0.83,0.09,29.15,1.94,0.07,2.34,23.56,5.43,2.48
E44,9.27,10.39,207.02,0.15,0.01,0.16,0.05,2.36,NA,0.17,0.29,8.17,58.39,68.24,59.03,1.06,0.08,28.93,0.4,0.62,NA,23.15,8.28,3.52,58.63,95.78,78.48,1.3,0.32,24.9,0.23,0.5,NA,9.57,4.39,3.83
